Transaction_Date,CustomerID
2019-01-01,89
2019-01-02,115
2019-01-03,207
2019-01-04,169
2019-01-05,189
2019-01-06,159
2019-01-07,53
2019-01-08,71
2019-01-09,188
2019-01-10,118
2019-01-11,129
2019-01-12,120
2019-01-13,150
2019-01-14,57
2019-01-15,55
2019-01-16,117
2019-01-17,185
2019-01-18,187
2019-01-19,119
2019-01-20,122
2019-01-21,56
2019-01-22,118
2019-01-23,147
2019-01-24,140
2019-01-25,157
2019-01-26,157
2019-01-27,168
2019-01-28,39
2019-01-29,99
2019-01-30,189
2019-01-31,194
2019-02-01,152
2019-02-02,117
2019-02-03,136
2019-02-04,82
2019-02-05,41
2019-02-06,151
2019-02-07,113
2019-02-08,102
2019-02-09,126
2019-02-10,134
2019-02-11,50
2019-02-12,81
2019-02-13,138
2019-02-14,183
2019-02-15,134
2019-02-16,133
2019-02-17,162
2019-02-18,66
2019-02-19,92
2019-02-20,114
2019-02-21,158
2019-02-22,129
2019-02-23,149
2019-02-24,168
2019-02-25,57
2019-02-26,49
2019-02-27,124
2019-02-28,143
2019-03-01,156
2019-03-02,145
2019-03-03,136
2019-03-04,253
2019-03-05,123
2019-03-06,153
2019-03-07,152
2019-03-08,113
2019-03-09,112
2019-03-10,106
2019-03-11,74
2019-03-12,53
2019-03-13,172
2019-03-14,151
2019-03-15,177
2019-03-16,132
2019-03-17,129
2019-03-18,86
2019-03-19,143
2019-03-20,242
2019-03-21,201
2019-03-22,154
2019-03-23,132
2019-03-24,132
2019-03-25,89
2019-03-26,87
2019-03-27,160
2019-03-28,148
2019-03-29,176
2019-03-30,143
2019-03-31,116
2019-04-01,61
2019-04-02,78
2019-04-03,129
2019-04-04,140
2019-04-05,190
2019-04-06,162
2019-04-07,194
2019-04-08,80
2019-04-09,75
2019-04-10,194
2019-04-11,150
2019-04-12,194
2019-04-13,164
2019-04-14,157
2019-04-15,65
2019-04-16,83
2019-04-17,179
2019-04-18,261
2019-04-19,188
2019-04-20,133
2019-04-21,191
2019-04-22,68
2019-04-23,63
2019-04-24,144
2019-04-25,135
2019-04-26,184
2019-04-27,155
2019-04-28,157
2019-04-29,69
2019-04-30,107
2019-05-01,251
2019-05-02,205
2019-05-03,185
2019-05-04,169
2019-05-05,153
2019-05-06,95
2019-05-07,64
2019-05-08,183
2019-05-09,198
2019-05-10,156
2019-05-11,156
2019-05-12,169
2019-05-13,105
2019-05-14,57
2019-05-15,154
2019-05-16,224
2019-05-17,157
2019-05-18,112
2019-05-19,200
2019-05-20,89
2019-05-21,93
2019-05-22,138
2019-05-23,156
2019-05-24,186
2019-05-25,151
2019-05-26,134
2019-05-27,56
2019-05-28,43
2019-05-29,75
2019-05-30,214
2019-05-31,244
2019-06-01,130
2019-06-02,183
2019-06-03,96
2019-06-04,69
2019-06-05,152
2019-06-06,121
2019-06-07,153
2019-06-08,117
2019-06-09,145
2019-06-10,60
2019-06-11,158
2019-06-12,240
2019-06-13,216
2019-06-14,182
2019-06-15,132
2019-06-16,129
2019-06-17,78
2019-06-18,133
2019-06-19,171
2019-06-20,167
2019-06-21,156
2019-06-22,176
2019-06-23,128
2019-06-24,55
2019-06-25,74
2019-06-26,157
2019-06-27,185
2019-06-28,165
2019-06-29,127
2019-06-30,138
2019-07-01,27
2019-07-02,47
2019-07-03,96
2019-07-04,64
2019-07-05,213
2019-07-06,143
2019-07-07,186
2019-07-08,65
2019-07-09,92
2019-07-10,170
2019-07-11,218
2019-07-12,228
2019-07-13,311
2019-07-14,221
2019-07-15,111
2019-07-16,112
2019-07-17,269
2019-07-18,249
2019-07-19,233
2019-07-20,218
2019-07-21,213
2019-07-22,123
2019-07-23,95
2019-07-24,196
2019-07-25,180
2019-07-26,185
2019-07-27,219
2019-07-28,240
2019-07-29,105
2019-07-30,131
2019-07-31,291
2019-08-01,244
2019-08-02,292
2019-08-03,212
2019-08-04,249
2019-08-05,119
2019-08-06,111
2019-08-07,238
2019-08-08,242
2019-08-09,202
2019-08-10,197
2019-08-11,289
2019-08-12,77
2019-08-13,106
2019-08-14,233
2019-08-15,183
2019-08-16,298
2019-08-17,206
2019-08-18,241
2019-08-19,145
2019-08-20,32
2019-08-21,173
2019-08-22,264
2019-08-23,233
2019-08-24,221
2019-08-25,236
2019-08-26,136
2019-08-27,190
2019-08-28,185
2019-08-29,196
2019-08-30,193
2019-08-31,207
2019-09-01,215
2019-09-02,81
2019-09-03,77
2019-09-04,79
2019-09-05,160
2019-09-06,278
2019-09-07,244
2019-09-08,119
2019-09-09,95
2019-09-10,48
2019-09-11,182
2019-09-12,170
2019-09-13,186
2019-09-14,130
2019-09-15,171
2019-09-16,90
2019-09-17,47
2019-09-18,197
2019-09-19,113
2019-09-20,136
2019-09-21,128
2019-09-22,192
2019-09-23,90
2019-09-24,91
2019-09-25,145
2019-09-26,201
2019-09-27,200
2019-09-28,164
2019-09-29,128
2019-09-30,131
2019-10-01,98
2019-10-02,137
2019-10-03,178
2019-10-04,207
2019-10-05,128
2019-10-06,137
2019-10-07,98
2019-10-08,106
2019-10-09,160
2019-10-10,184
2019-10-11,178
2019-10-12,153
2019-10-13,151
2019-10-14,81
2019-10-15,85
2019-10-16,144
2019-10-17,139
2019-10-18,106
2019-10-19,145
2019-10-20,107
2019-10-21,67
2019-10-22,66
2019-10-23,160
2019-10-24,151
2019-10-25,128
2019-10-26,189
2019-10-27,167
2019-10-28,136
2019-10-29,72
2019-10-30,175
2019-10-31,131
2019-11-01,167
2019-11-02,122
2019-11-03,164
2019-11-04,73
2019-11-05,70
2019-11-06,110
2019-11-07,126
2019-11-08,126
2019-11-09,113
2019-11-10,118
2019-11-11,70
2019-11-12,104
